"NodeId","Zone","Coordinates","evb1000"
"1","DEPT","[76, 3.97]","04:32:51:02:01:64:13:9a"
"2","DEPT","[72.74, 6.6]","10:20:5f:13:10:00:19:15"
"3","DEPT","[75.97, 6.86]","01:3a:61:02:c4:c2:11:0c"
"4","DEPT","[78.98, 6.85]","04:32:51:02:41:64:12:8a"
"5","DEPT","[78.89, 0.44]","04:32:51:02:41:64:11:a3"
"6","DEPT","[75.89, 0.43]","04:32:51:02:01:64:10:9b"
"7","DEPT","[72.91, 0.37]","10:20:5f:13:10:00:18:33"
"8","DEPT","[65.73, 2.05]","04:32:51:02:41:64:10:89"
"9","DEPT","[57.79, 0.42]","10:20:5e:fe:10:00:11:4a"
"10","DEPT","[51.93, 2.09]","05:c3:22:08:4b:94:c8:0c"
"11","DEPT","[44.7, 0.49]","10:20:5f:13:10:00:18:32"
"12","DEPT","[37.56, 2.06]","04:32:51:02:41:64:17:93"
"13","DEPT","[29.98, 0.49]","10:20:5e:e6:10:00:02:d8"
"14","DEPT","[22.85, 2.05]","05:c3:22:08:4b:94:ca:99"
"15","DEPT","[15.58, 0.43]","10:20:5e:fe:10:00:14:53"
"16","DEPT","[8.45, 1.99]","05:c3:22:08:4b:92:51:08"
"17","DEPT","[1.19, 0.44]","08:3b:80:46:00:81:83:25"
"18","DEPT","[1.95, 8.35]","04:32:51:02:41:64:13:89"
"19","DEPT","[0.47, 16.79]","10:20:5f:13:10:00:15:73"
"20","DEPT","[1.95, 24.55]","10:20:5f:13:10:00:18:24"
"21","DEPT","[0.99, 32.15]","10:20:5f:13:10:00:18:f7"
"22","DEPT","[10.57, 32.93]","10:20:5f:8b:10:00:37:cf"
"23","DEPT","[15.9, 31.29]","05:c3:22:08:4b:94:ca:2e"
"24","DEPT","[23.17, 32.91]","05:c3:22:08:4b:94:9a:33"
"25","DEPT","[30.32, 31.38]","10:20:5e:e6:10:00:01:6d"
"26","DEPT","[37.57, 32.93]","05:c3:22:08:4b:92:53:2e"
"27","DEPT","[44.72, 31.36]","04:32:51:02:41:64:1b:a5"
"28","DEPT","[51.86, 32.92]","05:c3:22:08:4b:94:c2:03"
"29","DEPT","[59.12, 31.37]","10:20:5f:13:10:00:15:72"
"30","DEPT","[66.93, 33.33]","05:c3:22:08:4b:94:94:19"
"31","DEPT","[73.47, 31.6]","10:20:5f:13:10:00:16:8a"
"32","DEPT","[78.93, 33.26]","05:c3:22:08:4b:92:4e:24"
"33","DEPT","[85.46, 31.67]","05:c3:22:08:4b:94:c2:16"
"34","DEPT","[76.5, 28.61]","04:32:51:02:41:64:19:b0"
"35","DEPT","[72.75, 23.38]","10:20:5f:8b:10:00:37:dd"
"36","DEPT","[74.37, 16.13]","10:20:5f:13:10:00:15:95"
"100","DEPT","[86.44, 31.83]","0d:bb:41:41:50:43:5a:07"
"101","DEPT","[86.45, 33.03]","0d:bb:41:41:10:43:5c:a0"
"102","","[104.63, 31.61]","0d:bb:41:41:10:43:5d:87"
"103","","[104.7, 33.17]","0d:bb:41:41:10:43:59:06"
"104","DEPT","[119.18, 31.7]","08:3b:80:46:00:81:89:b8"
"105","DEPT","[119.18, 32.89]","0d:bb:41:41:50:43:5a:27"
"106","DEPT","[120.43, 31.09]","10:20:5f:a7:10:00:46:c6"
"107","DEPT","[120.5, 33.32]","10:20:5f:a7:10:00:41:ed"
"108","DEPT","[132.88, 29.14]","0d:bb:41:41:50:43:5a:33"
"109","DEPT","[131.91, 33.34]","10:20:5f:a7:10:00:42:a7"
"110","DEPT","[134.5, 33]","10:20:5f:a7:10:00:46:c9"
"111","DEPT","[134.5, 31.19]","0d:bb:41:41:50:43:59:bb"
"113","DEPT","[140.33, 29.23]","0d:bb:41:41:50:43:85:30"
"114","DEPT","[145.66, 27.62]","10:20:5f:a7:10:00:42:b0"
"115","DEPT","[145.73, 29.25]","10:20:5f:a7:10:00:42:9c"
"116","DEPT","[157.38, 27.62]","10:20:5f:a7:10:00:42:d5"
"117","DEPT","[157.46, 29.24]","10:20:5f:a7:10:00:42:b5"
"118","DEPT","[171.15, 27.62]","0d:bb:41:41:10:43:5d:36"
"119","DEPT","[171.22, 29.25]","0d:bb:41:41:10:43:5b:ba"
"121","DEPT","[178.42, 29.25]","10:20:5f:a7:10:00:42:3a"
"122","DEPT","[183.83, 29.25]","0d:bb:41:41:50:43:5d:14"
"123","DEPT","[185.79, 29.01]","0d:bb:41:41:10:43:85:23"
"124","DEPT","[185.79, 26.61]","0d:bb:41:41:50:43:84:b6"
"125","DEPT","[188.85, 21.31]","0d:bb:41:41:50:43:5a:1b"
"126","DEPT","[184.22, 21.26]","0d:bb:41:41:50:43:5b:2a"
"127","DEPT","[188.86, 17.69]","0d:bb:41:41:50:43:59:0a"
"128","DEPT","[184.21, 17.68]","10:20:5f:a7:10:00:41:f1"
"129","DEPT","[174.95, 17.86]","10:20:5f:13:10:00:17:0b"
"130","DEPT","[174.97, 15.46]","0d:bb:41:41:50:43:57:25"
"131","DEPT","[184.22, 15.89]","0d:bb:41:41:50:43:5b:ae"
"132","DEPT","[188.86, 15.92]","0d:bb:41:41:10:43:58:2e"
"133","DEPT","[188.85, 8.42]","0d:bb:41:41:50:43:58:1a"
"134","DEPT","[186.2, 8.24]","0d:bb:41:41:50:43:5c:98"
"135","DEPT","[184.21, 8.4]","0d:bb:41:41:10:43:58:26"
"136","DEPT","[185.8, 2.44]","0d:bb:41:41:50:43:5c:8f"
"137","DEPT","[185.56, 0.53]","0d:bb:41:41:50:43:5c:93"
"138","DEPT","[183.76, 0.54]","0d:bb:41:41:50:43:85:b5"
"139","DEPT","[177.15, 0.55]","08:3b:80:46:00:81:8e:88"
"140","DEPT","[177.24, 2.16]","0d:bb:41:41:10:43:5a:2f"
"141","DEPT","[169.36, 0.55]","0d:bb:41:41:10:43:5a:23"
"142","DEPT","[169.44, 2.17]","04:32:51:02:01:64:1a:00"
"143","DEPT","[156.44, 0.56]","04:32:51:02:01:64:11:15"
"144","DEPT","[156.53, 2.19]","0d:bb:41:41:50:43:59:8f"
"145","DEPT","[142.05, 0.55]","0d:bb:41:41:10:43:5d:3b"
"146","DEPT","[142.13, 2.18]","0d:bb:41:41:50:43:5b:a6"
"147","DEPT","[134.86, 0.46]","0d:bb:41:41:50:43:85:1b"
"148","DEPT","[133.06, 0.45]","0d:bb:41:41:50:43:5b:3b"
"149","DEPT","[132.88, 2.5]","0d:bb:41:41:50:43:57:ba"
"150","DEPT","[132.89, 8.5]","0d:bb:41:41:50:43:5c:a4"
"151","DEPT","[134.51, 8.43]","0d:bb:41:41:10:43:57:9e"
"152","DEPT","[132.89, 20.74]","0d:bb:41:41:50:43:58:1e"
"153","DEPT","[134.51, 20.67]","0d:bb:41:41:10:43:58:9d"
"154","DEPT","[132.87, 26.73]","0d:bb:41:41:50:43:5d:0c"
